main_part_number;manufacturer;category;origin;price;deposit;quantity;TOTAL_PRICE;warehouse
526 022;HART ROZR.I ALTER.4;Towary BX;PL;2405.01;45;1;2450.01;3
526 022;HART ROZR.I ALTER.4;Towary BX;PL;2405.01;45;1;2450.01;9
526 022;HART ROZR.I ALTER.4;Towary BX;PL;2405.01;45;1;2450.01;A
526 022;HART ROZR.I ALTER.4;Towary BX;PL;2405.01;45;1;2450.01;H
DT0445110139;DIESEL TECH;Towary BX;ES;4961.88;240;1;5201.88;9
DT0445110139;DIESEL TECH;Towary BX;ES;4961.88;240;1;5201.88;A
526 023;HART ROZR.I ALTER.4;Towary BX;PL;3220.96;45;1;3265.96;9
526 023;HART ROZR.I ALTER.4;Towary BX;PL;3220.96;45;1;3265.96;H
530 747;HART ROZR.I ALTER.4;Towary BX;PL;2964.36;45;1;3009.36;9
530 747;HART ROZR.I ALTER.4;Towary BX;PL;2964.36;45;1;3009.36;H
530 747;HART ROZR.I ALTER.4;Towary BX;PL;2964.36;45;1;3009.36;J
546 401;HART ROZR.I ALTER.4;Towary BX;PL;1308.74;45;1;1353.74;3
526 177;HART ROZR.I ALTER.4;Towary BX;PL;3510.95;45;1;3555.95;3
526 177;HART ROZR.I ALTER.4;Towary BX;PL;3510.95;45;1;3555.95;9
526 177;HART ROZR.I ALTER.4;Towary BX;PL;3510.95;45;1;3555.95;A
526 177;HART ROZR.I ALTER.4;Towary BX;PL;3510.95;45;1;3555.95;H
526 177;HART ROZR.I ALTER.4;Towary BX;PL;3510.95;45;1;3555.95;J
542 266;HART ROZR.I ALTER.4;Towary BX;PL;4245.63;45;1;4290.63;3
0 986 473 381;BOSCH;Towary BX;PL;3913.78;160;1;4073.78;A
305436;L?BRO;Towary BX;DE;8002.73;72;1;8074.73;A
38034200;TEXTAR;Towary BX;SK;1947.42;120;1;2067.42;9
0 986 435 004;BOSCH;Towary BX;PL;10580.8;200;1;10780.8;J
DC72970;REMY;Towary BX;HU;4687.56;168;1;4855.56;9
BHS1294E;TRW;Towary BX;DE;3079.85;24;1;3103.85;A
0 986 435 212;BOSCH;Towary BX;PL;10644.9;200;1;10844.9;9
0 986 435 355;BOSCH;Towary BX;PL;10718.19;200;1;10918.19;3
0 986 435 355;BOSCH;Towary BX;PL;10718.19;200;1;10918.19;9
0 986 435 355;BOSCH;Towary BX;PL;10718.19;200;3;10918.19;A
534 340;HART ROZR.I ALTER.4;Towary BX;PL;5829.61;45;1;5874.61;3
0 986 474 231;BOSCH;Towary BX;PL;2530.81;120;1;2650.81;A
0 986 047 910;BOSCH;Towary BX;PL;10827.11;400;1;11227.11;9
0 986 047 910;BOSCH;Towary BX;PL;10827.11;400;1;11227.11;J
10-0789;AIRSTAL;Towary BX;PL;7013.48;100;1;7113.48;A
10-0678;Airstal;Towary BX;PL;3309.56;100;1;3409.56;3
526 014;HART ROZR.I ALTER.4;Towary BX;PL;3609.7;45;1;3654.7;3
526 014;HART ROZR.I ALTER.4;Towary BX;PL;3609.7;45;1;3654.7;A
526 014;HART ROZR.I ALTER.4;Towary BX;PL;3609.7;45;1;3654.7;H
526 014;HART ROZR.I ALTER.4;Towary BX;PL;3609.7;45;1;3654.7;J
526 014;HART ROZR.I ALTER.4;Towary BX;PL;3609.7;45;3;3654.7;9
BHN963E;TRW;Towary BX;CZ;2885.75;120;1;3005.75;3
BHN963E;TRW;Towary BX;CZ;2885.75;120;1;3005.75;9
BHN963E;TRW;Towary BX;CZ;2885.75;120;1;3005.75;A
BHN963E;TRW;Towary BX;CZ;2885.75;120;1;3005.75;H
BHN963E;TRW;Towary BX;CZ;2885.75;120;1;3005.75;J
BHZ922E;TRW;Towary BX;DE;2837.07;144;1;2981.07;3
526 028;HART ROZR.I ALTER.4;Towary BX;PL;3912.79;45;1;3957.79;3
526 028;HART ROZR.I ALTER.4;Towary BX;PL;3912.79;45;1;3957.79;9
526 028;HART ROZR.I ALTER.4;Towary BX;PL;3912.79;45;1;3957.79;A
526 028;HART ROZR.I ALTER.4;Towary BX;PL;3912.79;45;1;3957.79;H
526 028;HART ROZR.I ALTER.4;Towary BX;PL;3912.79;45;1;3957.79;J
38183400;TEXTAR;Towary BX;SK;3053.83;120;1;3173.83;9
305166;L?BRO;Towary BX;DE;14613.04;72;1;14685.04;H
0 986 435 394;BOSCH;Towary BX;PL;4800.89;200;4;5000.89;J
∆Ó‚.89;Airstal;Towary BX;PL;9938.89;100;1;10038.89;9
∆Ó‚.89;Airstal;Towary BX;PL;9938.89;100;1;10038.89;A
0 986 473 079;BOSCH;Towary BX;PL;2713.49;120;1;2833.49;A
DT0445110176;DIESEL TECH;Towary BX;ES;9030.6;240;1;9270.6;9
DT0445110176;DIESEL TECH;Towary BX;ES;9030.6;240;1;9270.6;A
DT0445110176;DIESEL TECH;Towary BX;ES;9030.6;240;1;9270.6;J
BHN357E;TRW;Towary BX;FR;8787.28;360;1;9147.28;J
0 986 435 163;BOSCH;Towary BX;PL;2932.37;200;1;3132.37;H
0 986 435 163;BOSCH;Towary BX;PL;2932.37;200;1;3132.37;J
∆Ó‚.57;AIRSTAL;Towary BX;PL;16795.69;100;1;16895.69;A
BHS1486E;TRW;Towary BX;DE;6262.1;216;1;6478.1;9
DC885100;REMY;Towary BX;PL;1289.04;168;1;1457.04;J
306099;L?BRO;Towary BX;DE;2243.29;72;1;2315.29;A
0 986 135 070;BOSCH;Towary BX;PL;1179.19;180;1;1359.19;3
0 986 135 070;BOSCH;Towary BX;PL;1179.19;180;1;1359.19;A
BHQ208E;TRW;Towary BX;DE;3949.31;216;1;4165.31;J
526 171;HART ROZR.I ALTER.4;Towary BX;PL;1880.58;45;1;1925.58;3
DT0445110252;DIESEL TECH;Towary BX;ES;7883.56;240;1;8123.56;3
DT0445110252;DIESEL TECH;Towary BX;ES;7883.56;240;1;8123.56;9
DT0445110252;DIESEL TECH;Towary BX;ES;7883.56;240;1;8123.56;A
DT0445110252;DIESEL TECH;Towary BX;ES;7883.56;240;1;8123.56;H
